== EXP-066 POST-HOC POLICY PROBE ==

Exploratory, post hoc, NOT pre-registered, SIGNS NOTHING.
Engine pin a5e8bcfc5646827e9be49a9629f8a6a9678c814b, golden match hash re-checked by the runner's own gates.
Every champion is read from exp066_champions_{s,l,d}.eterm in this directory.
The pilot encoder and the match loop are the runner's OWN compiled code, reached through an export_all view built from its beam's debug_info.
held-out starts requested = 80, used = 80, both seats always, so matches per opponent = 160

COLUMNS
  W            win rate (alive and opponent dead), the feed's own rule
  shots/hits   gun_heat zero-to-nonzero transitions, and of those the ones whose bullet reaches the victim inside HIT_R AND for which the engine credited the shooter damage on that same turn (see section A)
  cf_hit       the SAME bullet against a GHOST victim that holds the velocity it had when the shot left the barrel
  weave        missed the real champion, hit the ghost: a shot the champion's change of velocity defeated
  blind        missed both: a shot already aimed wrong when it left the barrel
  latmiss      mean absolute lateral miss at closest approach, whole units, against HIT_R = 20
  devlat       of that, the part explained by the victim departing from its fire-time velocity
  estlat       of that, the part explained by the bot's own velocity ESTIMATE being wrong at fire time
  fresh        share of turns on which the bot held a scan from THIS turn, which is its precondition for firing at all
  velzero      share of turns on which the bot's enemy_vel/1 returned standing still (never seen twice, or a scan gap over 8)
  bodyflip     sign changes per 100 turns in the COMMANDED turn_body
  vperp        mean own speed PERPENDICULAR to the line of sight, whole units per turn: the quantity the lead solver extrapolates
  mypow/oppow  mean commanded shot power, in tenths. The floor bot's own budget rule drops it from 30 to 20 beyond 150 units of range and to 10 beyond 350, and damage per hit is 16, 10 and 4 units respectively
  ram          turns per match with the tanks overlapping. Ram contact costs BOTH tanks 0.6 energy a turn and robo_sim credits it to nobody, so it never appears in dealt or taken
  latflip      sign changes per 100 turns in cross(line of sight, own velocity): reversals of the quantity the lead solver extrapolates
  range        mean tank separation over the match, whole units

SELF-CHECK. bullets counted as hitting by this module's own walk must equal the engine's damage credits; dealt/taken are read from #tank.damage_dealt and printed beside them.

-- 0. THE LOOP, VERIFIED BY RECOMPUTATION AGAINST THE ARCHIVED FEED --

Four columns of the arm S block of exp066_floor_feed.txt, recomputed through THIS module's match loop. Agreement to the digit is what licenses everything below it: it shows the loop is driving the archived code over the archived starts and not something nearby.

seed          W        L    margin    shots    pulls
2001     0.9750   0.0250     67.23    11.96    71.94
2008     0.9750   0.0250     71.92    11.28   123.84
2015     0.4188   0.5813    -15.89     8.09   121.20

feed, seed 2001: W=0.9750 L=0.0250 margin=67.23 shots=11.96 pulls=71.94
feed, seed 2008: W=0.9750 L=0.0250 margin=71.92 shots=11.28 pulls=123.84
feed, seed 2015: W=0.4188 L=0.5813 margin=-15.89 shots=8.09 pulls=121.20

-- A. SELF-CHECK ON THE BULLET WALK --

A HIT here means BOTH that this module's bullet walk reached the victim inside HIT_R and that the engine credited the shooter damage on that very turn. The walk supplies the geometry, the ENGINE supplies the count.

  hits counted, every match in this file        = 66316
  turns on which the engine credited damage     = 66316  (must equal the line above)
  of those hits, ones whose credited damage equals robo_sim:damage/1 of the arriving bullet's own power = 66316
  walk reached the victim but the engine credited nobody = 24  (robo_sim resolves rams and wall contact BEFORE bullets, so a point-blank shot into a tank the same step has already killed is excluded by first_hit/2)
  engine credited a turn the walk did not reach = 0
  turns whose credit exceeds the engine's maximum for one hit, 4096 at power 30 = 0

-- B. THE GUN EXCHANGE. Rows A1-A4 are the CONTROL: the floor bot against the four scripted rungs it already beats.

who              W |  shots  hits   rate     cf weave blind |  fresh velzro flight shotrg  mind latmis devlat estlat |  shots  hits   rate   dealt   taken
A1   ****** 0.0000 |   9.98  9.76 0.9775 0.9781  0.01  0.22 | 0.9432 1.0000   12.9  220.4  15.6   1.13   0.00   0.00 |   0.00  0.00 0.0000    0.00  104.24
A2   ****** 0.0000 |  52.41 10.04 0.1917 0.3893 17.56 24.81 | 0.8651 0.0198   11.0  208.0  52.4  46.46  39.51  10.73 |   0.00  0.00 0.0000    0.00   90.71
A3   rammer 0.0125 |   7.67  6.41 0.8355 0.8950  0.79  0.47 | 0.5307 0.1004    6.0  144.1  17.2  13.14  11.79   5.17 |   6.46  0.72 0.1123    6.91   91.76
A4   ****** 0.0000 |  10.28  8.97 0.8723 0.1216  0.54  0.77 | 0.5513 0.0411   11.9  227.9  17.7  12.25  11.10   7.93 |   9.81  0.09 0.0089    0.76   89.28
s    2001   0.9750 |  11.95  4.44 0.3713 0.3243  1.92  5.59 | 0.4216 0.0728    8.7  192.4  30.4  26.44  15.85  23.87 |  11.96  6.86 0.5740  109.02   41.79
s    2002   0.9375 |  12.46  5.17 0.4150 0.3879  1.50  5.79 | 0.4076 0.0653    8.7  193.8  33.1  29.03  13.42  21.59 |  12.38  7.04 0.5687  111.06   47.14
s    2003   1.0000 |  13.34  1.64 0.1227 0.2141  2.31  9.39 | 0.9418 0.0303   19.4  295.1  53.8  40.76  43.54  20.86 |  12.37  5.97 0.4826   93.70   14.59
s    2004   0.9938 |  11.78  4.52 0.3838 0.3620  1.20  6.06 | 0.4196 0.0656    9.2  202.9  36.7  32.98  14.44  23.95 |  12.78  7.08 0.5535  111.46   40.48
s    2005   0.9938 |  10.96  4.14 0.3782 0.3759  1.11  5.70 | 0.3950 0.0707    8.4  194.0  35.7  31.45  11.00  24.16 |  11.04  7.11 0.6438  110.04   37.99
s    2006   0.9938 |  10.80  4.14 0.3831 0.3600  1.10  5.56 | 0.4116 0.0717    8.8  198.4  34.4  30.43  12.80  23.45 |  10.25  6.98 0.6811  111.17   39.08
s    2007   0.5813 |   6.91  4.93 0.7140 0.7077  1.00  0.97 | 0.7098 0.1072    6.1  141.3  19.0  13.93  12.45   7.60 |   8.01  3.88 0.4836   61.94   63.43
s    2008   0.9750 |  10.42  3.68 0.3533 0.3653  1.11  5.63 | 0.3910 0.0770    8.2  191.5  34.5  30.18  11.00  23.72 |  11.28  6.74 0.5978  107.03   35.11
s    2009   0.5750 |   6.99  4.74 0.6783 0.6828  0.96  1.29 | 0.6801 0.1306    6.5  149.6  20.9  15.64  11.74   6.92 |   8.06  3.70 0.4589   58.28   61.36
s    2010   0.9875 |  13.09  3.28 0.2507 0.2373  2.37  7.44 | 0.6749 0.0804   11.3  217.2  37.4  31.64  25.99  14.33 |  12.02  6.39 0.5315  101.09   28.51
s    2011   0.5375 |   7.47  4.94 0.6611 0.6167  0.95  1.58 | 0.7386 0.0908    6.6  151.6  22.3  16.89  12.06   7.54 |   8.44  3.65 0.4326   57.95   63.45
s    2012   1.0000 |  10.87  2.96 0.2726 0.3893  3.08  4.83 | 0.5508 0.0728    9.9  206.5  34.8  30.52  23.53  16.92 |  10.82  6.72 0.6210  104.43   26.21
s    2013   0.9750 |  16.66  1.32 0.0795 0.1823  2.54 12.79 | 0.9712 0.0210   21.8  308.3  65.3  50.46  51.12  24.52 |  15.63  5.51 0.3524   85.69   10.56
s    2014   0.5813 |   6.64  4.81 0.7241 0.7100  0.89  0.94 | 0.6866 0.1053    5.7  136.7  17.7  12.37   7.95   6.26 |   7.91  3.80 0.4803   60.69   62.15
